School,Faculty Type,Salary Type,Salary,,,,,
Amherst,all_fac_2020,Real Salary,"115,573",,,,,
Amherst,full,Real Salary,"155,833",,,,,
Amherst,associate,Real Salary,"110,986",,,,,
Amherst,assistant,Real Salary,"93,329",,,,,
Bates,all_fac_2020,Real Salary,"101,539",,,,,
Bates,full,Real Salary,"134,487",,,,,
Bates,associate,Real Salary,"105,217",,,,,
Bates,assistant,Real Salary,"85,862",,,,,
Bowdoin,all_fac_2020,Real Salary,"114,601",,,,,
Bowdoin,full,Real Salary,"146,857",,,,,
Bowdoin,associate,Real Salary,"113,680",,,,,
Bowdoin,assistant,Real Salary,"91,352",,,,,
Carleton,all_fac_2020,Real Salary,"117,620",,,,,
Carleton,full,Real Salary,"141,305",,,,,
Carleton,associate,Real Salary,"107,210",,,,,
Carleton,assistant,Real Salary,"88,514",,,,,
Claremont McKenna,all_fac_2020,Real Salary,"138,183",,,,,
Claremont McKenna,full,Real Salary,"176,098",,,,,
Claremont McKenna,associate,Real Salary,"128,042",,,,,
Claremont McKenna,assistant,Real Salary,"108,670",,,,,
Colby,all_fac_2020,Real Salary,"111,341",,,,,
Colby,full,Real Salary,"145,971",,,,,
Colby,associate,Real Salary,"105,841",,,,,
Colby,assistant,Real Salary,"88,084",,,,,
Colgate,all_fac_2020,Real Salary,"109,417",,,,,
Colgate,full,Real Salary,"151,654",,,,,
Colgate,associate,Real Salary,"108,479",,,,,
Colgate,assistant,Real Salary,"92,464",,,,,
Davidson,all_fac_2020,Real Salary,"102,411",,,,,
Davidson,full,Real Salary,"134,729",,,,,
Davidson,associate,Real Salary,"98,243",,,,,
Davidson,assistant,Real Salary,"79,877",,,,,
Furman,all_fac_2020,Real Salary,"87,947",,,,,
Furman,full,Real Salary,"102,723",,,,,
Furman,associate,Real Salary,"82,983",,,,,
Furman,assistant,Real Salary,"70,364",,,,,
Grinnell,all_fac_2020,Real Salary,"109,613",,,,,
Grinnell,full,Real Salary,"139,558",,,,,
Grinnell,associate,Real Salary,"105,908",,,,,
Grinnell,assistant,Real Salary,"87,727",,,,,
Hamilton,all_fac_2020,Real Salary,"107,611",,,,,
Hamilton,full,Real Salary,"142,149",,,,,
Hamilton,associate,Real Salary,"108,150",,,,,
Hamilton,assistant,Real Salary,"88,383",,,,,
Haverford,all_fac_2020,Real Salary,"100,983",,,,,
Haverford,full,Real Salary,"131,176",,,,,
Haverford,associate,Real Salary,"101,031",,,,,
Haverford,assistant,Real Salary,"84,959",,,,,
Macalester,all_fac_2020,Real Salary,"98,937",,,,,
Macalester,full,Real Salary,"126,583",,,,,
Macalester,associate,Real Salary,"95,133",,,,,
Macalester,assistant,Real Salary,"79,775",,,,,
Middlebury,all_fac_2020,Real Salary,"112,177",,,,,
Middlebury,full,Real Salary,"140,387",,,,,
Middlebury,associate,Real Salary,"104,368",,,,,
Middlebury,assistant,Real Salary,"90,234",,,,,
Oberlin,all_fac_2020,Real Salary,"97,483",,,,,
Oberlin,full,Real Salary,"122,742",,,,,
Oberlin,associate,Real Salary,"94,994",,,,,
Oberlin,assistant,Real Salary,"72,109",,,,,
Pomona,all_fac_2020,Real Salary,"126,433",,,,,
Pomona,full,Real Salary,"160,491",,,,,
Pomona,associate,Real Salary,"120,016",,,,,
Pomona,assistant,Real Salary,"98,629",,,,,
Swarthmore,all_fac_2020,Real Salary,"123,619",,,,,
Swarthmore,full,Real Salary,"156,329",,,,,
Swarthmore,associate,Real Salary,"111,489",,,,,
Swarthmore,assistant,Real Salary,"87,690",,,,,
Vassar,all_fac_2020,Real Salary,"111,749",,,,,
Vassar,full,Real Salary,"142,788",,,,,
Vassar,associate,Real Salary,"111,493",,,,,
Vassar,assistant,Real Salary,"89,258",,,,,
Washington and Lee,all_fac_2020,Real Salary,"118,672",,,,,
Washington and Lee,full,Real Salary,"143,853",,,,,
Washington and Lee,associate,Real Salary,"115,712",,,,,
Washington and Lee,assistant,Real Salary,"95,154",,,,,
Wesleyan,all_fac_2020,Real Salary,"111,714",,,,,
Wesleyan,full,Real Salary,"158,455",,,,,
Wesleyan,associate,Real Salary,"111,008",,,,,
Wesleyan,assistant,Real Salary,"91,207",,,,,
Williams,all_fac_2020,Real Salary,"122,391",,,,,
Williams,full,Real Salary,"149,903",,,,,
Williams,associate,Real Salary,"106,040",,,,,
Williams,assistant,Real Salary,"93,837",,,,,
Amherst,all_fac_2020,COLA Adjusted Salary,"125,628",,,,,
Amherst,full,COLA Adjusted Salary,"142,275",,,,,
Amherst,associate,COLA Adjusted Salary,"101,330",,,,,
Amherst,assistant,COLA Adjusted Salary,"85,859",,,,,
Bates,all_fac_2020,COLA Adjusted Salary,"115,652",,,,,
Bates,full,COLA Adjusted Salary,"153,181",,,,,
