School,Faculty Type,Salary Type,Salary,,,,,
Amherst,all_fac_2020,Real Salary,"115,573",,,,,
Amherst,full_2020,Real Salary,"155,833",,,,,
Amherst,assoc_2020,Real Salary,"110,986",,,,,
Amherst,assist_2020,Real Salary,"93,329",,,,,
Bates,all_fac_2020,Real Salary,"101,539",,,,,
Bates,full_2020,Real Salary,"134,487",,,,,
Bates,assoc_2020,Real Salary,"105,217",,,,,
Bates,assist_2020,Real Salary,"85,862",,,,,
Bowdoin,all_fac_2020,Real Salary,"114,601",,,,,
Bowdoin,full_2020,Real Salary,"146,857",,,,,
Bowdoin,assoc_2020,Real Salary,"113,680",,,,,
Bowdoin,assist_2020,Real Salary,"91,352",,,,,
Carleton,all_fac_2020,Real Salary,"117,620",,,,,
Carleton,full_2020,Real Salary,"141,305",,,,,
Carleton,assoc_2020,Real Salary,"107,210",,,,,
Carleton,assist_2020,Real Salary,"88,514",,,,,
Claremont McKenna,all_fac_2020,Real Salary,"138,183",,,,,
Claremont McKenna,full_2020,Real Salary,"176,098",,,,,
Claremont McKenna,assoc_2020,Real Salary,"128,042",,,,,
Claremont McKenna,assist_2020,Real Salary,"108,670",,,,,
Colby,all_fac_2020,Real Salary,"111,341",,,,,
Colby,full_2020,Real Salary,"145,971",,,,,
Colby,assoc_2020,Real Salary,"105,841",,,,,
Colby,assist_2020,Real Salary,"88,084",,,,,
Colgate,all_fac_2020,Real Salary,"109,417",,,,,
Colgate,full_2020,Real Salary,"151,654",,,,,
Colgate,assoc_2020,Real Salary,"108,479",,,,,
Colgate,assist_2020,Real Salary,"92,464",,,,,
Davidson,all_fac_2020,Real Salary,"102,411",,,,,
Davidson,full_2020,Real Salary,"134,729",,,,,
Davidson,assoc_2020,Real Salary,"98,243",,,,,
Davidson,assist_2020,Real Salary,"79,877",,,,,
Furman,all_fac_2020,Real Salary,"87,947",,,,,
Furman,full_2020,Real Salary,"102,723",,,,,
Furman,assoc_2020,Real Salary,"82,983",,,,,
Furman,assist_2020,Real Salary,"70,364",,,,,
Grinnell,all_fac_2020,Real Salary,"109,613",,,,,
Grinnell,full_2020,Real Salary,"139,558",,,,,
Grinnell,assoc_2020,Real Salary,"105,908",,,,,
Grinnell,assist_2020,Real Salary,"87,727",,,,,
Hamilton,all_fac_2020,Real Salary,"107,611",,,,,
Hamilton,full_2020,Real Salary,"142,149",,,,,
Hamilton,assoc_2020,Real Salary,"108,150",,,,,
Hamilton,assist_2020,Real Salary,"88,383",,,,,
Haverford,all_fac_2020,Real Salary,"100,983",,,,,
Haverford,full_2020,Real Salary,"131,176",,,,,
Haverford,assoc_2020,Real Salary,"101,031",,,,,
Haverford,assist_2020,Real Salary,"84,959",,,,,
Macalester,all_fac_2020,Real Salary,"98,937",,,,,
Macalester,full_2020,Real Salary,"126,583",,,,,
Macalester,assoc_2020,Real Salary,"95,133",,,,,
Macalester,assist_2020,Real Salary,"79,775",,,,,
Middlebury,all_fac_2020,Real Salary,"112,177",,,,,
Middlebury,full_2020,Real Salary,"140,387",,,,,
Middlebury,assoc_2020,Real Salary,"104,368",,,,,
Middlebury,assist_2020,Real Salary,"90,234",,,,,
Oberlin,all_fac_2020,Real Salary,"97,483",,,,,
Oberlin,full_2020,Real Salary,"122,742",,,,,
Oberlin,assoc_2020,Real Salary,"94,994",,,,,
Oberlin,assist_2020,Real Salary,"72,109",,,,,
Pomona,all_fac_2020,Real Salary,"126,433",,,,,
Pomona,full_2020,Real Salary,"160,491",,,,,
Pomona,assoc_2020,Real Salary,"120,016",,,,,
Pomona,assist_2020,Real Salary,"98,629",,,,,
Swarthmore,all_fac_2020,Real Salary,"123,619",,,,,
Swarthmore,full_2020,Real Salary,"156,329",,,,,
Swarthmore,assoc_2020,Real Salary,"111,489",,,,,
Swarthmore,assist_2020,Real Salary,"87,690",,,,,
Vassar,all_fac_2020,Real Salary,"111,749",,,,,
Vassar,full_2020,Real Salary,"142,788",,,,,
Vassar,assoc_2020,Real Salary,"111,493",,,,,
Vassar,assist_2020,Real Salary,"89,258",,,,,
Washington and Lee,all_fac_2020,Real Salary,"118,672",,,,,
Washington and Lee,full_2020,Real Salary,"143,853",,,,,
Washington and Lee,assoc_2020,Real Salary,"115,712",,,,,
Washington and Lee,assist_2020,Real Salary,"95,154",,,,,
Wesleyan,all_fac_2020,Real Salary,"111,714",,,,,
Wesleyan,full_2020,Real Salary,"158,455",,,,,
Wesleyan,assoc_2020,Real Salary,"111,008",,,,,
Wesleyan,assist_2020,Real Salary,"91,207",,,,,
Williams,all_fac_2020,Real Salary,"122,391",,,,,
Williams,full_2020,Real Salary,"149,903",,,,,
Williams,assoc_2020,Real Salary,"106,040",,,,,
Williams,assist_2020,Real Salary,"93,837",,,,,
Amherst,all_fac_2020,COLA Adjusted Salary,"125,628",,,,,
Amherst,full_2020,COLA Adjusted Salary,"142,275",,,,,
Amherst,assoc_2020,COLA Adjusted Salary,"101,330",,,,,
Amherst,assist_2020,COLA Adjusted Salary,"85,859",,,,,
Bates,all_fac_2020,COLA Adjusted Salary,"115,652",,,,,
Bates,full_2020,COLA Adjusted Salary,"153,181",,,,,
Bates,assoc_2020,COLA Adjusted Salary,"119,842",,,,,
Bates,assist_2020,COLA Adjusted Salary,"85,862",,,,,
Bowdoin,all_fac_2020,COLA Adjusted Salary,"107,266",,,,,
Bowdoin,full_2020,COLA Adjusted Salary,"137,458",,,,,
Bowdoin,assoc_2020,COLA Adjusted Salary,"106,405",,,,,
Bowdoin,assist_2020,COLA Adjusted Salary,"85,506",,,,,
Carleton,all_fac_2020,COLA Adjusted Salary,"114,797",,,,,
Carleton,full_2020,COLA Adjusted Salary,"137,914",,,,,
Carleton,assoc_2020,COLA Adjusted Salary,"104,637",,,,,
Carleton,assist_2020,COLA Adjusted Salary,"86,389",,,,,
Claremont McKenna,all_fac_2020,COLA Adjusted Salary,"47,397",,,,,
Claremont McKenna,full_2020,COLA Adjusted Salary,"60,402",,,,,
Claremont McKenna,assoc_2020,COLA Adjusted Salary,"43,918",,,,,
Claremont McKenna,assist_2020,COLA Adjusted Salary,"37,274",,,,,
Colby,all_fac_2020,COLA Adjusted Salary,"135,057",,,,,
Colby,full_2020,COLA Adjusted Salary,"177,063",,,,,
Colby,assoc_2020,COLA Adjusted Salary,"128,386",,,,,
Colby,assist_2020,COLA Adjusted Salary,"106,846",,,,,
Colgate,all_fac_2020,COLA Adjusted Salary,"126,268",,,,,
Colgate,full_2020,COLA Adjusted Salary,"175,008",,,,,
Colgate,assoc_2020,COLA Adjusted Salary,"125,185",,,,,
Colgate,assist_2020,COLA Adjusted Salary,"106,704",,,,,
Davidson,all_fac_2020,COLA Adjusted Salary,"85,206",,,,,
Davidson,full_2020,COLA Adjusted Salary,"112,095",,,,,
Davidson,assoc_2020,COLA Adjusted Salary,"81,738",,,,,
Davidson,assist_2020,COLA Adjusted Salary,"66,458",,,,,
Furman,all_fac_2020,COLA Adjusted Salary,"97,885",,,,,
Furman,full_2020,COLA Adjusted Salary,"114,331",,,,,
Furman,assoc_2020,COLA Adjusted Salary,"92,360",,,,,
Furman,assist_2020,COLA Adjusted Salary,"78,315",,,,,
Grinnell,all_fac_2020,COLA Adjusted Salary,"132,413",,,,,
Grinnell,full_2020,COLA Adjusted Salary,"168,586",,,,,
Grinnell,assoc_2020,COLA Adjusted Salary,"127,936",,,,,
Grinnell,assist_2020,COLA Adjusted Salary,"105,974",,,,,
Hamilton,all_fac_2020,COLA Adjusted Salary,"133,976",,,,,
Hamilton,full_2020,COLA Adjusted Salary,"176,976",,,,,
Hamilton,assoc_2020,COLA Adjusted Salary,"134,647",,,,,
Hamilton,assist_2020,COLA Adjusted Salary,"110,037",,,,,
Haverford,all_fac_2020,COLA Adjusted Salary,"29,891",,,,,
Haverford,full_2020,COLA Adjusted Salary,"38,828",,,,,
Haverford,assoc_2020,COLA Adjusted Salary,"29,905",,,,,
Haverford,assist_2020,COLA Adjusted Salary,"25,148",,,,,
Macalester,all_fac_2020,COLA Adjusted Salary,"100,322",,,,,
Macalester,full_2020,COLA Adjusted Salary,"128,355",,,,,
Macalester,assoc_2020,COLA Adjusted Salary,"96,465",,,,,
Macalester,assist_2020,COLA Adjusted Salary,"80,892",,,,,
Middlebury,all_fac_2020,COLA Adjusted Salary,"115,318",,,,,
Middlebury,full_2020,COLA Adjusted Salary,"144,318",,,,,
Middlebury,assoc_2020,COLA Adjusted Salary,"107,290",,,,,
Middlebury,assist_2020,COLA Adjusted Salary,"92,761",,,,,
Oberlin,all_fac_2020,COLA Adjusted Salary,"119,806",,,,,
Oberlin,full_2020,COLA Adjusted Salary,"150,850",,,,,
Oberlin,assoc_2020,COLA Adjusted Salary,"116,748",,,,,
Oberlin,assist_2020,COLA Adjusted Salary,"88,623",,,,,
Pomona,all_fac_2020,COLA Adjusted Salary,"43,367",,,,,
Pomona,full_2020,COLA Adjusted Salary,"55,048",,,,,
Pomona,assoc_2020,COLA Adjusted Salary,"41,166",,,,,
Pomona,assist_2020,COLA Adjusted Salary,"33,830",,,,,
Swarthmore,all_fac_2020,COLA Adjusted Salary,"108,290",,,,,
Swarthmore,full_2020,COLA Adjusted Salary,"136,944",,,,,
Swarthmore,assoc_2020,COLA Adjusted Salary,"97,665",,,,,
Swarthmore,assist_2020,COLA Adjusted Salary,"76,816",,,,,
Vassar,all_fac_2020,COLA Adjusted Salary,"108,956",,,,,
Vassar,full_2020,COLA Adjusted Salary,"139,219",,,,,
Vassar,assoc_2020,COLA Adjusted Salary,"108,706",,,,,
Vassar,assist_2020,COLA Adjusted Salary,"87,026",,,,,
Washington and Lee,all_fac_2020,COLA Adjusted Salary,"135,642",,,,,
Washington and Lee,full_2020,COLA Adjusted Salary,"164,424",,,,,
Washington and Lee,assoc_2020,COLA Adjusted Salary,"132,259",,,,,
Washington and Lee,assist_2020,COLA Adjusted Salary,"108,761",,,,,
Wesleyan,all_fac_2020,COLA Adjusted Salary,"108,809",,,,,
Wesleyan,full_2020,COLA Adjusted Salary,"154,335",,,,,
Wesleyan,assoc_2020,COLA Adjusted Salary,"108,121",,,,,
Wesleyan,assist_2020,COLA Adjusted Salary,"88,836",,,,,
Williams,all_fac_2020,COLA Adjusted Salary,"121,289",,,,,
Williams,full_2020,COLA Adjusted Salary,"148,554",,,,,
Williams,assoc_2020,COLA Adjusted Salary,"105,085",,,,,
Williams,assist_2020,COLA Adjusted Salary,"92,993",,,,,
